treatment,replicate_no,dissection_no,id,trophont,gamont,gut_gametocyst,par_presence
E,4,3,D9,104,0,0,1
E,4,3,D10,44,0,0,1
C,5,3,E1,1,0,0,1
C,5,3,E2,11,0,0,1
C,5,3,E3,22,0,2,1
C,5,3,E4,0,0,0,0
C,5,3,E5,58,0,0,1
C,5,3,E6,0,0,0,0
C,5,3,E7,0,0,0,0
C,5,3,E8,161,0,0,1
C,5,3,E9,0,0,0,0
C,5,3,E10,33,0,0,1
D,3,3,F1,1,0,0,1
D,3,3,F2,44,0,0,1
D,3,3,F3,0,0,0,0
D,3,3,F4,78,0,0,1
D,3,3,F5,24,0,0,1
D,3,3,F6,43,0,1,1
D,3,3,F7,96,1,5,1
D,3,3,F8,0,0,0,0
D,3,3,F9,0,0,0,0
D,3,3,F10,42,0,0,1
B,1,3,G1,59,0,0,1
B,1,3,G2,98,0,0,1
B,1,3,G3,63,0,0,1
B,1,3,G4,13,0,0,1
B,1,3,G5,21,0,0,1
B,1,3,G6,0,0,0,0
B,1,3,G7,6,0,0,1
B,1,3,G8,31,0,0,1
B,1,3,G9,13,0,0,1
B,1,3,G10,16,0,0,1
B,2,3,H1,87,0,0,1
B,2,3,H2,29,0,0,1
B,2,3,H3,86,0,0,1
B,2,3,H4,0,0,0,0
B,2,3,H5,17,0,0,1
B,2,3,H6,2,0,0,1
B,2,3,H7,0,0,0,0
B,2,3,H8,64,0,0,1
B,2,3,H9,0,0,0,0
B,2,3,H10,44,0,0,1
D,1,3,A12,23,0,0,1
D,1,3,B12,15,0,0,1
D,1,3,C12,60,0,0,1
D,1,3,D12,47,0,0,1
D,1,3,E12,0,0,0,0
D,1,3,F12,0,0,0,0
D,1,3,G12,431,0,0,1
D,1,3,H12,37,0,0,1
D,1,3,A11,0,0,0,0
D,1,3,B11,2,0,0,1
C,1,4,A1,37,0,0,1
C,1,4,A2,42,0,0,1
C,1,4,A3,192,0,0,1
C,1,4,A4,4,0,0,1
C,1,4,A5,0,0,0,0
C,1,4,A6,10,0,0,1
C,1,4,A7,359,0,0,1
C,1,4,A8,0,0,0,0
C,1,4,A9,0,0,0,0
C,1,4,A10,107,0,0,1
B,2,4,B1,173,0,4,1
B,2,4,B2,0,0,0,0
B,2,4,B3,0,0,0,0
B,2,4,B4,0,0,0,0
B,2,4,B5,231,0,0,1
B,2,4,B6,0,0,0,0
B,2,4,B7,0,0,0,0
B,2,4,B8,88,0,0,1
B,2,4,B9,57,0,0,1
B,2,4,B10,0,0,0,0
A,1,4,C1,2,0,0,1
A,1,4,C2,61,0,0,1
A,1,4,C3,0,0,0,0
A,1,4,C4,208,0,0,1
A,1,4,C5,0,0,0,0
A,1,4,C6,48,0,0,1
A,1,4,C7,15,0,0,1
A,1,4,C8,8,2,0,1
A,1,4,C9,0,0,0,0
A,1,4,C10,0,0,0,0
B,3,4,D1,0,0,0,0
B,3,4,D2,0,0,0,0
B,3,4,D3,81,0,0,1
B,3,4,D4,30,0,0,1
B,3,4,D5,0,0,0,0
B,3,4,D6,0,0,0,0
B,3,4,D7,0,0,0,0
B,3,4,D8,5,0,0,1
B,3,4,D9,56,0,0,1
B,3,4,D10,5,0,0,1
C,4,4,E1,0,0,0,0
C,4,4,E2,0,0,0,0
C,4,4,E3,191,0,0,1
C,4,4,E4,5,0,0,1
C,4,4,E5,82,0,0,1
C,4,4,E6,0,0,0,0
C,4,4,E7,0,0,0,0
C,4,4,E8,133,0,0,1
C,4,4,E9,0,0,0,0
C,4,4,E10,57,0,0,1
D,2,4,F1,0,0,0,0
D,2,4,F2,0,0,0,0
D,2,4,F3,165,0,0,1
